teamID,createdAt,teamName
1,2023-08-07 20:40:27.938633+00,Argentina
3,2024-05-28 10:25:24.602729+00,Australia
18,2024-05-28 10:29:01.667166+00,Belgium
14,2024-05-28 10:28:04.731157+00,Brazil
7,2024-05-28 10:26:37.986686+00,Columbia
4,2024-05-28 10:25:44.230537+00,Costa Rica
16,2024-05-28 10:28:25.058813+00,Croatia
17,2024-05-28 10:28:48.381575+00,Denmark
15,2024-05-28 10:28:14.294332+00,Egypt
13,2024-05-28 10:27:43.65852+00,England
9,2024-05-28 10:27:01.638476+00,France
2,2023-08-07 20:40:35.649187+00,France
19,2024-05-28 10:29:21.464708+00,Germany
10,2024-05-28 10:27:13.864135+00,Iceland
23,2024-05-28 10:30:33.248481+00,Iran
11,2024-05-28 10:27:23.903425+00,Japan
31,2024-05-28 10:32:40.875037+00,Mexico
26,2024-05-28 10:31:10.219163+00,Mexico
20,2024-05-28 10:29:47.682915+00,Morocco
12,2024-05-28 10:27:34.482381+00,Nigeria
21,2024-05-28 10:30:12.807536+00,Panama
22,2024-05-28 10:30:21.078152+00,Peru
25,2024-05-28 10:30:56.762027+00,Poland
32,2024-05-28 10:33:12.822076+00,Portugal
6,2024-05-28 10:26:26.13972+00,Russia
27,2024-05-28 10:31:30.294732+00,Saudi Arabia
24,2024-05-28 10:30:46.358501+00,Senegal
30,2024-05-28 10:32:18.970842+00,Serbia
8,2024-05-28 10:26:52.836766+00,South Korea
33,2024-05-28 10:33:57.799966+00,Spain
5,2024-05-28 10:26:15.149878+00,Sweden
34,2024-05-28 10:34:12.68465+00,Switzerland
29,2024-05-28 10:32:01.0977+00,Tunisia
28,2024-05-28 10:31:48.347214+00,Uruguay